City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
158,remire-montjoly,4.9167,-52.2667,26.02,94,20,1.54,GF,1705274514
159,port mathurin,-19.6833,63.4167,28.18,76,100,6.04,MU,1705274515
160,nabire,-3.3667,135.4833,26.62,87,100,0.49,ID,1705274515
161,happy valley-goose bay,53.3168,-60.3315,1.17,69,75,5.14,CA,1705274515
162,kapuskasing,49.4169,-82.4331,-17.95,78,100,4.63,CA,1705274515
163,nasiriyah,31.0521,46.261,15.73,40,99,4.23,IQ,1705274515
164,tutoia,-2.7619,-42.2744,27.12,82,82,5.71,BR,1705274515
165,sinabang,2.4803,96.3801,26.18,81,64,0.55,ID,1705274515
166,chaiyaphum,15.75,102.0,21.66,73,1,4.23,TH,1705274515
167,port macquarie,-31.4333,152.9167,22.63,89,100,6.45,AU,1705274496
168,vadso,70.0744,29.7487,-7.91,86,75,8.23,NO,1705274515
169,georgetown,5.4112,100.3354,26.96,75,20,2.06,MY,1705274516
170,inari,68.906,27.0288,-23.89,100,100,1.17,FI,1705274516
171,tazacorte,28.629,-17.9293,20.08,80,0,4.92,ES,1705274516
172,labytnangi,66.6572,66.4183,-35.6,99,98,0.35,RU,1705274484
173,geraldton,-28.7667,114.6,23.23,78,100,4.12,AU,1705274516
174,kota,25.1833,75.8333,13.34,67,0,0.74,IN,1705274454
175,bodaybo,57.8506,114.1933,-19.93,98,99,1.13,RU,1705274516
176,kupang,-10.1667,123.5833,28.32,100,75,2.57,ID,1705274516
177,selfoss,63.9331,-20.9971,-7.2,49,96,4.43,IS,1705274516
178,kourou,5.1552,-52.6478,26.03,92,60,3.63,GF,1705274516
179,arenapolis,-14.4503,-56.8461,26.36,78,64,1.76,BR,1705274517
180,sonoita,31.85,-112.8333,18.89,19,0,2.24,MX,1705274517
181,constantia,44.1833,28.65,-2.39,70,38,5.38,RO,1705274517
182,jakar,27.5492,90.7525,0.23,83,23,1.06,BT,1705274517
183,carutapera,-1.195,-46.02,25.13,92,97,2.68,BR,1705274517
184,usogorsk,63.4106,48.6872,-16.32,96,100,2.7,RU,1705274517
185,dhuusamarreeb,5.535,46.3861,24.45,74,79,6.33,SO,1705274517
186,nadym,65.5333,72.5167,-33.09,100,95,5.11,RU,1705274517
187,guasdualito,7.2424,-70.7324,30.98,55,20,0.0,VE,1705274517
188,alvaraes,-3.2208,-64.8042,25.93,97,98,2.07,BR,1705274517
189,dadukou,26.5479,101.7054,6.77,65,0,0.78,CN,1705274518
190,benguela,-12.5763,13.4055,25.15,70,100,1.74,AO,1705274518
191,tazovsky,67.4667,78.7,-27.16,87,100,6.39,RU,1705274518
192,jamestown,42.097,-79.2353,-9.23,73,0,3.6,US,1705274309
193,tsurusaki,33.24,131.6844,9.99,90,73,4.95,JP,1705274518
194,ierapetra,35.01,25.7353,12.3,69,20,1.79,GR,1705274518
195,i-n-salah,27.1935,2.4607,14.96,21,91,4.05,DZ,1705274518
196,cam ranh,11.9214,109.1591,24.98,69,75,6.17,VN,1705274518
197,fernley,39.608,-119.2518,10.32,56,69,1.34,US,1705274518
198,huayin,34.5675,110.0921,5.21,64,100,1.96,CN,1705274519
199,chonchi,-42.6128,-73.8092,16.56,82,100,1.37,CL,1705274519
200,luderitz,-26.6481,15.1594,18.28,71,1,8.35,NA,1705274519
201,tanaina,61.6269,-149.4281,0.94,84,100,3.6,US,1705274519
202,callao,-12.0667,-77.15,24.16,73,20,9.26,PE,1705274325
203,colonia,50.9333,6.95,1.65,84,100,6.69,DE,1705274433
204,chibougamau,49.9168,-74.3659,-19.21,78,100,4.12,CA,1705274245
205,queenstown,-31.8976,26.8753,18.84,89,95,1.94,ZA,1705274520
206,bengkulu,-3.8004,102.2655,24.09,88,90,1.47,ID,1705274520
207,lloydminster,53.2835,-110.0016,-29.88,69,0,4.12,CA,1705274520
208,tucumcari,35.1717,-103.725,0.05,34,8,5.68,US,1705274520
209,bo rai,12.5728,102.5371,22.03,71,45,2.06,TH,1705274520
210,lospalos,-8.5186,127.0025,25.28,83,100,4.45,TL,1705274520
211,urumqi,43.801,87.6005,-12.47,92,0,2.0,CN,1705274520
212,semey,50.4111,80.2275,-12.76,58,92,3.86,KZ,1705274520
213,lyubinskiy,55.1542,72.6925,-20.74,93,96,6.72,RU,1705274521
214,buala,-8.145,159.5921,30.3,68,72,1.42,SB,1705274521
215,mwingi,-0.9344,38.0601,20.47,81,55,0.79,KE,1705274521
216,morondava,-20.2833,44.2833,27.3,82,99,2.02,MG,1705274376
217,pyin oo lwin,22.0333,96.4667,10.91,67,0,1.45,MM,1705274524
218,kiunga,-6.1219,141.2906,23.0,100,100,0.39,PG,1705274524
219,san antonio de pale,-1.4014,5.6325,26.77,81,38,5.92,GQ,1705274524
220,puerto ayora,-0.7393,-90.3518,25.86,94,54,3.13,EC,1705274524
221,los frentones,-26.4077,-61.4137,32.27,52,61,3.79,AR,1705274525
222,ushtobe,45.2514,77.9838,-4.47,94,100,3.79,KZ,1705274526
223,am timan,11.0297,20.2827,23.14,14,16,3.26,TD,1705274527
224,umm kaddadah,13.6017,26.6876,16.31,23,64,6.23,SD,1705274527
225,'ain el hadjar,34.7585,0.1453,6.63,26,17,3.62,DZ,1705274527
226,guarapari,-20.6667,-40.4975,26.61,85,82,5.39,BR,1705274527
227,northam,51.0333,-4.2167,5.34,80,77,4.98,GB,1705274527
228,remontnoye,46.5614,43.6501,-5.44,86,100,8.96,RU,1705274528
229,xining,36.6167,101.7667,-2.44,35,100,0.68,CN,1705274528
230,todos santos,23.45,-110.2167,25.72,58,0,2.0,MX,1705274528
231,orchard homes,46.8633,-114.0484,-20.92,77,100,0.0,US,1705274528
232,quesnel,52.9999,-122.5029,-17.72,55,0,1.03,CA,1705274528
233,wauchope,-31.45,152.7333,21.47,97,100,2.8,AU,1705274528
234,zabaykal'sk,49.6333,117.3167,-24.75,83,78,0.49,RU,1705274528
235,plastun,44.7561,136.2939,-15.37,56,24,6.91,RU,1705274528
236,arraial do cabo,-22.9661,-42.0278,24.44,90,100,2.63,BR,1705274529
237,phang nga,8.4509,98.5298,23.02,96,36,1.78,TH,1705274529
238,nyurba,63.2842,118.3319,-37.31,100,100,0.82,RU,1705274529
239,mili,6.0815,171.735,27.45,73,96,8.37,MH,1705274529
240,victorica,-36.2151,-65.4359,26.67,21,0,3.57,AR,1705274530
241,at taraf,25.3628,49.725,16.3,42,12,3.39,SA,1705274530
242,ushuaia,-54.8,-68.3,5.81,70,75,11.32,AR,1705274530
243,brisas de zicatela,15.8369,-97.0419,27.29,69,40,2.06,MX,1705274531
244,porto de moz,-1.7483,-52.2383,24.36,91,100,0.83,BR,1705274531
245,coahuayana de hidalgo,18.7,-103.6583,27.29,57,97,2.2,MX,1705274532
246,port elizabeth,-33.918,25.5701,20.17,80,0,4.12,ZA,1705274532
247,olinda,-8.0089,-34.8553,27.85,78,75,4.12,BR,1705274533
248,lazaro cardenas,17.9583,-102.2,27.02,55,74,2.7,MX,1705274533
249,mboursou lere,9.7639,14.1539,22.22,13,0,2.94,TD,1705274533
250,dharur,18.8167,76.1167,17.51,38,10,3.12,IN,1705274533
251,severobaykal'sk,55.65,109.3167,-20.83,82,5,2.47,RU,1705274533
252,freeport,40.6576,-73.5832,1.2,35,0,11.32,US,1705274533
